,latency,estimate,cpu_avg,vm_total_load,Measure,active requests,Typical Load Spikes,avg_latency_mili,Avg. Request Latency,Avg. Request Load Estimate,Avg. Webserver CPU%,Avg. Webserver Estimated Load,avg_Measure,Avg. Active Requests,,,,,,,,
20,2924050,7981254.522,1941.800222,45473504,1675047.917,70,1192497,146202.5,146.2025,399062.7261,97.09001111,2273675.2,83752.39587,3.5,,,,,,,,
40,2534595,10594067.46,1925.771788,35110020,1675047.917,40,933409,126729.75,126.72975,529703.3729,96.28858942,1755501,83752.39587,2,,,,,,,,
60,3696192,10353867.46,1904.879179,72313750,1675047.917,40,1863503,184809.6,184.8096,517693.3731,95.24395897,3615687.5,83752.39587,2,,,,,,,,
80,2577613,10052970.5,1869.530746,36250457,1675047.917,20,961920,128880.65,128.88065,502648.5249,93.47653731,1812522.85,83752.39587,1,,,,,,,,
100,1671025,9787969.741,1297.415995,16244144,1675047.917,9,461763,83551.25,83.55125,489398.487,64.87079976,812207.2,83752.39587,0.45,,,,,,,,
120,1476775,7602665.396,962.8648747,9775060,1313966.478,7,300035,73838.75,73.83875,380133.2698,48.14324373,488753,65698.32389,0.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,10000000,500000
,,,,,,,,,,,,,,,,,,,,,,6250
,,,,,,,,,,,,,,,,,,,,,,500000000
